symbol,expiryDate,tdyClose,tdyTraded,tdyDelivery,deliveryToTradeRatio,tdyOI
RAYMOND,29-Aug-0019,572.25,878123,108645,12.0,855200
WIPRO,29-Aug-0019,249.25,2681657,1015269,37.0,6400000
JSWSTEEL,29-Aug-0019,205.75,9056214,1543106,17.0,6508000
RECLTD,29-Aug-0019,140.9,3285159,1329014,40.0,6330000
MINDTREE,29-Aug-0019,677.1,1276385,363735,28.0,490800
HINDPETRO,29-Aug-0019,265.05,4926503,2668968,54.0,2797200
BEL,29-Aug-0019,103.7,8688813,4690003,53.0,8970000
HEROMOTOCO,29-Aug-0019,2568.5,631760,140610,22.0,564200
HINDUNILVR,29-Aug-0019,1828.1,2519453,1204383,47.0,5649000
IDBI,29-Aug-0019,26.75,19404546,2730032,14.0,3948000
RAMCOCEM,29-Aug-0019,751.75,170410,49296,28.0,349600
TITAN,29-Aug-0019,1110.95,1599333,477592,29.0,2650500
POWERGRID,29-Aug-0019,205.75,8863308,3083433,34.0,5652000
BATAINDIA,29-Aug-0019,1507.7,761192,106650,14.0,651750
INFY,29-Aug-0019,802.5,5881134,2578179,43.0,12952800
KAJARIACER,29-Aug-0019,472.05,437546,141737,32.0,713700
DABUR,29-Aug-0019,434.8,1583233,822057,51.0,2148750
APOLLOHOSP,29-Aug-0019,1521.4,1429654,427475,29.0,406500
TECHM,29-Aug-0019,690.2,2749273,1733113,63.0,4837200
BANKBARODA,29-Aug-0019,94.5,24947200,4435153,17.0,22644000
TATAELXSI,29-Aug-0019,648.6,1157017,163301,14.0,667800
IGL,29-Aug-0019,333.05,2897764,535909,18.0,1743500
CHOLAFIN,29-Aug-0019,266.45,1135961,645333,56.0,895000
ESCORTS,29-Aug-0019,492.75,2472300,364848,14.0,1331000
JUSTDIAL,29-Aug-0019,704.2,1754932,148109,8.0,890400
AXISBANK,29-Aug-0019,678.2,5677087,2028943,35.0,15343200
SUNTV,29-Aug-0019,441.8,1334382,137328,10.0,1118000
AUROPHARMA,29-Aug-0019,591.1,2561030,561115,21.0,2828000
SRF,29-Aug-0019,2775.75,222609,57745,25.0,351750
INDUSINDBK,29-Aug-0019,1365.85,8031108,3967522,49.0,3919200
HAVELLS,29-Aug-0019,666.2,999474,248446,24.0,1380000
UNIONBANK,29-Aug-0019,60.3,9706964,1284632,13.0,6972000
IOC,29-Aug-0019,122.9,12405115,5947527,47.0,27090000
BPCL,29-Aug-0019,350.55,5017700,2221729,44.0,4438800
BAJAJ-AUTO,29-Aug-0019,2766.75,479960,82656,17.0,689250
INFRATEL,29-Aug-0019,248.8,1090082,335538,30.0,944000
APOLLOTYRE,29-Aug-0019,168.55,2366161,679564,28.0,1380000
PFC,29-Aug-0019,103.3,6279230,3219772,51.0,12995200
TATAPOWER,29-Aug-0019,55.45,7447749,2303029,30.0,19233000
PEL,29-Aug-0019,1895.6,845730,160432,18.0,503132
