INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,EICHERMOT,29-Aug-19,25500,CE,0,0,0,414.5,0,0,0,0,0,28-Aug-19
OPTSTK,LICHSGFIN,26-Sep-19,470,PE,50,50,50,50,60.25,20,114.4,51700,11000,28-Aug-19
OPTSTK,UPL,29-Aug-19,780,PE,0,0,0,156.25,222.9,0,0,0,0,28-Aug-19
OPTSTK,AMBUJACEM,29-Aug-19,195,PE,0.2,0.25,0.2,0.25,0,2,9.76,62500,0,28-Aug-19
OPTSTK,IOC,26-Sep-19,95,PE,0,0,0,0.15,0.05,0,0,0,0,28-Aug-19
OPTSTK,TECHM,29-Aug-19,780,PE,94,94,94,94,89.7,1,10.48,10800,0,28-Aug-19
OPTSTK,COALINDIA,29-Aug-19,150,PE,0,0,0,0.3,0,0,0,4400,0,28-Aug-19
OPTSTK,PVR,26-Sep-19,1240,PE,0,0,0,4.3,2.1,0,0,1600,0,28-Aug-19
OPTSTK,TATASTEEL,29-Aug-19,540,CE,0.05,0.05,0.05,0.05,0,1,5.72,3183,-1061,28-Aug-19
OPTSTK,UPL,29-Aug-19,540,CE,21,21,10,17.9,17.9,5,25.04,42300,-1800,28-Aug-19
OPTSTK,ESCORTS,29-Aug-19,460,PE,0.55,0.6,0.1,0.2,0.2,64,324.1,50600,-20900,28-Aug-19
OPTSTK,TATAGLOBAL,31-Oct-19,265,PE,0,0,0,22.75,10.25,0,0,0,0,28-Aug-19
OPTSTK,HINDUNILVR,31-Oct-19,1720,PE,0,0,0,57.6,17.3,0,0,0,0,28-Aug-19
OPTSTK,CUMMINSIND,31-Oct-19,760,PE,0,0,0,44.15,183.95,0,0,0,0,28-Aug-19
OPTSTK,TATAGLOBAL,31-Oct-19,245,CE,0,0,0,23.35,42.2,0,0,0,0,28-Aug-19
OPTSTK,GRASIM,31-Oct-19,540,PE,0,0,0,0.05,6.4,0,0,0,0,28-Aug-19
FUTSTK,MINDTREE,31-Oct-19,0,XX,669,670.9,655.5,658.15,658.15,26,103.39,20400,4800,28-Aug-19
OPTSTK,NTPC,31-Oct-19,105,CE,0,0,0,27.4,17.55,0,0,0,0,28-Aug-19
OPTSTK,HEROMOTOCO,31-Oct-19,3250,PE,0,0,0,832.8,671.9,0,0,0,0,28-Aug-19
OPTSTK,HCLTECH,31-Oct-19,760,PE,0,0,0,0.2,0.05,0,0,0,0,28-Aug-19
OPTSTK,BERGEPAINT,31-Oct-19,410,CE,0,0,0,2.6,2.85,0,0,0,0,28-Aug-19
OPTSTK,JSWSTEEL,31-Oct-19,185,CE,0,0,0,68.45,28.95,0,0,0,0,28-Aug-19
OPTSTK,SUNPHARMA,31-Oct-19,410,CE,0,0,0,55.65,32.3,0,0,0,0,28-Aug-19
OPTSTK,BERGEPAINT,31-Oct-19,300,CE,0,0,0,40,69.85,0,0,0,0,28-Aug-19
OPTSTK,SHREECEM,31-Oct-19,16000,CE,0,0,0,5375.1,3314.8,0,0,0,0,28-Aug-19
OPTSTK,MGL,31-Oct-19,880,PE,0,0,0,106,69.75,0,0,0,0,28-Aug-19
OPTSTK,JUBLFOOD,31-Oct-19,1260,PE,0,0,0,139.7,118.15,0,0,0,0,28-Aug-19
OPTSTK,MARUTI,31-Oct-19,6300,CE,0,0,0,247.85,340.5,0,0,0,0,28-Aug-19
OPTSTK,TATASTEEL,31-Oct-19,480,CE,0,0,0,22.55,2.9,0,0,0,0,28-Aug-19
OPTSTK,SIEMENS,31-Oct-19,1320,PE,0,0,0,169.9,152.2,0,0,0,0,28-Aug-19
OPTSTK,INFY,31-Oct-19,800,PE,0,0,0,50,32.35,0,0,1200,0,28-Aug-19
OPTSTK,SRTRANSFIN,31-Oct-19,1000,PE,0,0,0,122.65,79.4,0,0,0,0,28-Aug-19
OPTSTK,NATIONALUM,31-Oct-19,44,CE,0,0,0,3.45,1.4,0,0,0,0,28-Aug-19
OPTSTK,PNB,31-Oct-19,67.5,CE,0,0,0,4.5,5.6,0,0,7000,0,28-Aug-19
OPTSTK,PAGEIND,31-Oct-19,15500,CE,0,0,0,4039,2868.3,0,0,0,0,28-Aug-19
OPTSTK,ASHOKLEY,31-Oct-19,75,PE,0,0,0,6.8,11.7,0,0,0,0,28-Aug-19
OPTSTK,EQUITAS,31-Oct-19,112.5,PE,0,0,0,10.35,13.95,0,0,0,0,28-Aug-19
OPTSTK,LT,31-Oct-19,1120,CE,0,0,0,277.45,242.65,0,0,0,0,28-Aug-19
OPTSTK,DLF,31-Oct-19,160,CE,0,0,0,15,26,0,0,8400,0,28-Aug-19
OPTSTK,PVR,31-Oct-19,2020,PE,0,0,0,239.4,437.2,0,0,0,0,28-Aug-19
OPTSTK,HCLTECH,31-Oct-19,1100,PE,0,0,0,91.4,40,0,0,0,0,28-Aug-19
OPTSTK,UPL,31-Oct-19,790,CE,0,0,0,15.6,4.75,0,0,0,0,28-Aug-19
OPTSTK,PNB,31-Oct-19,72.5,PE,0,0,0,11.05,9.85,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,17-Oct-19,10550,CE,0,0,0,697.65,677.05,0,0,0,0,28-Aug-19
OPTSTK,NMDC,31-Oct-19,62.5,PE,0,0,0,0.05,2.6,0,0,0,0,28-Aug-19
OPTSTK,AXISBANK,31-Oct-19,830,CE,0,0,0,10.75,3.15,0,0,0,0,28-Aug-19
OPTSTK,ITC,31-Oct-19,235,PE,0,0,0,1.1,5.8,0,0,0,0,28-Aug-19
OPTSTK,CHOLAFIN,31-Oct-19,235,PE,0,0,0,14.5,7.55,0,0,0,0,28-Aug-19
OPTSTK,CIPLA,31-Oct-19,440,CE,0,0,0,106.8,40.2,0,0,0,0,28-Aug-19
OPTSTK,RECLTD,31-Oct-19,110,CE,0,0,0,42.6,33.45,0,0,0,0,28-Aug-19
OPTSTK,SBIN,31-Oct-19,330,PE,0,0,0,14.75,47.95,0,0,0,0,28-Aug-19
OPTSTK,INDIGO,31-Oct-19,1000,PE,0,0,0,9.25,0.1,0,0,0,0,28-Aug-19
OPTSTK,VOLTAS,31-Oct-19,460,CE,0,0,0,128.2,170.35,0,0,0,0,28-Aug-19
OPTSTK,MGL,31-Oct-19,800,PE,0,0,0,51.15,32.45,0,0,0,0,28-Aug-19
OPTSTK,SHREECEM,31-Oct-19,18250,PE,0,0,0,131,384.4,0,0,0,0,28-Aug-19
OPTSTK,LICHSGFIN,31-Oct-19,630,PE,0,0,0,105.15,207.8,0,0,0,0,28-Aug-19
OPTSTK,GODREJCP,31-Oct-19,650,CE,0,0,0,22.4,10.4,0,0,0,0,28-Aug-19
OPTSTK,TORNTPHARM,31-Oct-19,1400,CE,0,0,0,307.8,291.05,0,0,0,0,28-Aug-19
OPTSTK,JUBLFOOD,31-Oct-19,1420,CE,0,0,0,36.45,19.4,0,0,0,0,28-Aug-19
OPTSTK,DIVISLAB,31-Oct-19,1760,CE,0,0,0,62.15,50.55,0,0,0,0,28-Aug-19
OPTSTK,ITC,31-Oct-19,315,CE,0,0,0,1.4,0.3,0,0,0,0,28-Aug-19
OPTSTK,ACC,29-Aug-19,1840,CE,0,0,0,80.1,0,0,0,0,0,28-Aug-19
OPTSTK,WIPRO,29-Aug-19,242.5,CE,0,0,0,42.6,6.8,0,0,0,0,28-Aug-19
OPTSTK,IOC,29-Aug-19,110,PE,0.05,0.05,0.05,0.05,0,1,3.85,80500,0,28-Aug-19
OPTSTK,POWERGRID,26-Sep-19,185,CE,0,0,0,28.35,22.15,0,0,0,0,28-Aug-19
OPTSTK,PFC,29-Aug-19,95,CE,0,0,0,8.15,8.35,0,0,18600,0,28-Aug-19
OPTSTK,EQUITAS,26-Sep-19,107.5,CE,0,0,0,17.9,6,0,0,0,0,28-Aug-19
OPTSTK,KOTAKBANK,29-Aug-19,1700,CE,0.05,0.05,0.05,0.05,0,1,6.8,10400,-400,28-Aug-19
OPTSTK,TCS,29-Aug-19,2140,CE,106,106,79.2,95.95,95.95,7,39.02,23250,-750,28-Aug-19
OPTSTK,L&TFH,26-Sep-19,87.5,CE,0,0,0,31.35,10.85,0,0,0,0,28-Aug-19
OPTSTK,ICICIBANK,26-Sep-19,385,PE,3,4.8,3,3.95,3.95,32,171.02,42625,-2750,28-Aug-19
OPTSTK,L&TFH,26-Sep-19,165,PE,70.2,70.4,70.2,70.4,69.75,2,21.17,9000,9000,28-Aug-19
OPTSTK,TCS,29-Aug-19,2060,CE,186.2,186.2,163.25,163.4,179.6,4,22.31,750,-750,28-Aug-19
OPTIDX,NIFTY,26-Mar-20,10200,CE,0,0,0,2151.8,1379.55,0,0,0,0,28-Aug-19
OPTSTK,ACC,29-Aug-19,1680,PE,0,0,0,91.75,137.45,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,31-Oct-19,12550,CE,0,0,0,51.7,27.55,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,24-Jun-21,6300,CE,0,0,0,3920.65,5422.3,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,29-Jun-23,13000,CE,0,0,0,2005.65,1979.1,0,0,0,0,28-Aug-19
OPTIDX,NIFTYIT,29-Aug-19,15100,CE,0,0,0,1283.9,782.35,0,0,0,0,28-Aug-19
OPTSTK,ASHOKLEY,26-Sep-19,90,CE,0.2,0.2,0.1,0.15,0.15,16,86.56,636000,66000,28-Aug-19
OPTSTK,TATAMTRDVR,29-Aug-19,50,PE,0.1,0.25,0.1,0.15,0.05,7,21.06,138000,-6000,28-Aug-19
OPTSTK,TORNTPOWER,26-Sep-19,230,CE,0,0,0,70.3,52.2,0,0,0,0,28-Aug-19
OPTSTK,NBCC,26-Sep-19,60,CE,0.4,0.4,0.4,0.4,0.25,1,5.13,17000,8500,28-Aug-19
OPTSTK,TATAMTRDVR,29-Aug-19,92.5,CE,0,0,0,7.7,0,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,29-Aug-19,10250,CE,805.3,805.3,774.25,774.25,797.75,3,24.83,1725,-225,28-Aug-19
OPTSTK,JUSTDIAL,26-Sep-19,720,CE,19.5,23.55,19,21.5,21.5,25,259.32,21000,9800,28-Aug-19
OPTSTK,TATAMOTORS,29-Aug-19,160,CE,0.05,0.05,0.05,0.05,0,47,225.67,2709000,0,28-Aug-19
OPTSTK,CESC,29-Aug-19,550,CE,0,0,0,210.35,215.6,0,0,0,0,28-Aug-19
OPTSTK,CESC,29-Aug-19,850,PE,0,0,0,127.5,84.4,0,0,0,0,28-Aug-19
OPTSTK,HINDZINC,29-Aug-19,232.5,CE,0,0,0,20.55,0,0,0,0,0,28-Aug-19
OPTSTK,PIDILITIND,26-Sep-19,1120,CE,0,0,0,136.1,263.65,0,0,0,0,28-Aug-19
OPTSTK,BAJAJ-AUTO,29-Aug-19,2200,CE,0,0,0,784.4,567,0,0,0,0,28-Aug-19
OPTSTK,SRTRANSFIN,29-Aug-19,1480,PE,0,0,0,345.2,488.15,0,0,0,0,28-Aug-19
OPTSTK,GLENMARK,26-Sep-19,380,CE,15,15,15,15,20.9,1,3.95,5000,1000,28-Aug-19
OPTSTK,SRTRANSFIN,29-Aug-19,1080,CE,1.15,1.75,0.7,0.75,0.75,20,129.72,15000,-10800,28-Aug-19
OPTSTK,COLPAL,29-Aug-19,920,CE,0,0,0,255.3,293.15,0,0,0,0,28-Aug-19
OPTSTK,AMARAJABAT,29-Aug-19,560,CE,0,0,0,97.1,52.7,0,0,0,0,28-Aug-19
OPTSTK,JUBLFOOD,29-Aug-19,1620,PE,0,0,0,281.35,434.55,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,24-Jun-21,14500,PE,0,0,0,1648.4,2387.3,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,24-Jun-21,9100,CE,0,0,0,2304.3,3049.4,0,0,0,0,28-Aug-19
OPTSTK,SIEMENS,29-Aug-19,900,CE,0,0,0,420.45,278,0,0,0,0,28-Aug-19
OPTSTK,DABUR,26-Sep-19,315,PE,0,0,0,0.5,0,0,0,0,0,28-Aug-19
OPTSTK,EQUITAS,26-Sep-19,77.5,PE,0,0,0,0.05,0.2,0,0,0,0,28-Aug-19
OPTSTK,UPL,26-Sep-19,620,CE,7.9,7.9,7.9,7.9,7.9,1,5.65,6300,900,28-Aug-19
OPTSTK,BSOFT,26-Sep-19,72.5,CE,0,0,0,3.2,2.95,0,0,10200,0,28-Aug-19
OPTIDX,NIFTY,29-Dec-22,13000,CE,0,0,0,1642.25,1717.15,0,0,0,0,28-Aug-19
OPTSTK,PVR,29-Aug-19,1480,CE,80,80,60,60.5,100.4,3,18.56,10400,0,28-Aug-19
OPTSTK,NESTLEIND,29-Aug-19,13200,CE,5.3,5.3,5.3,5.3,0.05,1,6.6,50,50,28-Aug-19
OPTSTK,COALINDIA,26-Sep-19,150,PE,0.5,0.95,0.5,0.9,0.9,3,9.95,77000,2200,28-Aug-19
OPTSTK,TATASTEEL,26-Sep-19,620,CE,0,0,0,16.2,0,0,0,0,0,28-Aug-19
OPTSTK,RAYMOND,29-Aug-19,680,PE,106.95,106.95,106.95,106.95,107.65,1,6.29,2400,-800,28-Aug-19
OPTSTK,TATASTEEL,26-Sep-19,450,PE,99,112.3,99,112.3,111.8,25,147.78,147479,23342,28-Aug-19
OPTSTK,BRITANNIA,26-Sep-19,2150,PE,0,0,0,17,1.75,0,0,1200,0,28-Aug-19
OPTSTK,CANBK,29-Aug-19,200,CE,28.5,29.3,26.1,26.1,26.9,3,13.67,12000,0,28-Aug-19
OPTSTK,TATASTEEL,26-Sep-19,230,CE,111.4,111.4,111.4,111.4,108.15,2,7.24,2122,2122,28-Aug-19
OPTSTK,WIPRO,29-Aug-19,270,PE,18.6,20.85,18.5,20.4,20.4,9,83.51,131200,-3200,28-Aug-19
OPTSTK,RAYMOND,29-Aug-19,760,PE,189.9,189.9,187,187,187,2,15.17,800,-1600,28-Aug-19
OPTIDX,NIFTY,12-Sep-19,13000,CE,0,0,0,23.5,0,0,0,0,0,28-Aug-19
OPTSTK,DABUR,26-Sep-19,480,CE,0,0,0,2.7,0.95,0,0,1250,0,28-Aug-19
OPTSTK,LICHSGFIN,29-Aug-19,470,PE,43,55.6,42.5,51.4,52.15,26,148.31,71500,-12100,28-Aug-19
OPTIDX,NIFTY,12-Sep-19,12550,CE,0,0,0,68,0.1,0,0,0,0,28-Aug-19
OPTSTK,ONGC,26-Sep-19,107.5,CE,0,0,0,47,15.15,0,0,0,0,28-Aug-19
OPTSTK,RAMCOCEM,26-Sep-19,610,CE,0,0,0,198.55,144.8,0,0,0,0,28-Aug-19
OPTSTK,BPCL,26-Sep-19,400,PE,58.7,61,58.55,59,51.9,11,90.94,19800,19800,28-Aug-19
OPTSTK,SAIL,26-Sep-19,48,CE,0,0,0,0.3,0.05,0,0,0,0,28-Aug-19
OPTSTK,TORNTPOWER,26-Sep-19,285,PE,0,0,0,10.4,13.3,0,0,3000,0,28-Aug-19
OPTSTK,ZEEL,26-Sep-19,270,CE,0,0,0,86.9,96.3,0,0,0,0,28-Aug-19
OPTSTK,JINDALSTEL,26-Sep-19,150,PE,52,52,51,51,53.9,5,32.28,16000,16000,28-Aug-19
OPTSTK,RELCAPITAL,29-Aug-19,60,CE,0.05,0.1,0.05,0.05,0.05,56,100.89,459000,-69000,28-Aug-19
OPTSTK,RAMCOCEM,26-Sep-19,830,PE,0,0,0,53.3,80.2,0,0,0,0,28-Aug-19
OPTSTK,TVSMOTOR,26-Sep-19,290,CE,0,0,0,144.4,72.15,0,0,0,0,28-Aug-19
OPTIDX,BANKNIFTY,29-Aug-19,27800,CE,345.5,400.9,82.6,154,154,289212,1616962.48,209880,131800,28-Aug-19
OPTSTK,TORNTPHARM,26-Sep-19,1620,CE,0,0,0,49.45,90.45,0,0,0,0,28-Aug-19
OPTSTK,TATAMOTORS,29-Aug-19,235,CE,0,0,0,7.55,0,0,0,0,0,28-Aug-19
OPTSTK,BERGEPAINT,26-Sep-19,375,PE,0,0,0,14.75,13.45,0,0,4400,0,28-Aug-19
OPTSTK,HINDALCO,26-Sep-19,150,CE,28.5,28.5,28.5,28.5,29.35,1,6.24,3500,0,28-Aug-19
OPTSTK,HDFC,26-Sep-19,2080,PE,18.95,22.35,18.25,18.95,18.95,28,293.97,11500,-1500,28-Aug-19
OPTSTK,JUBLFOOD,26-Sep-19,1260,PE,93,93.5,93,93.5,97.8,2,13.53,1000,1000,28-Aug-19
OPTSTK,GLENMARK,29-Aug-19,740,PE,0,0,0,174.95,361.5,0,0,0,0,28-Aug-19
OPTSTK,CHOLAFIN,29-Aug-19,256,PE,0,0,0,6,0.2,0,0,5000,0,28-Aug-19
OPTSTK,GRASIM,29-Aug-19,730,PE,7.5,18,7.5,11.7,18.8,20,111.55,9000,-5250,28-Aug-19
OPTSTK,ASHOKLEY,29-Aug-19,80,CE,0.05,0.05,0.05,0.05,0,20,96.06,8856000,24000,28-Aug-19
OPTSTK,ADANIPORTS,26-Sep-19,400,CE,4.15,4.15,2.8,3.1,3.1,23,231.86,147500,30000,28-Aug-19
OPTSTK,GAIL,29-Aug-19,145,CE,0.15,0.15,0.05,0.05,0.05,17,131.55,416052,-37338,28-Aug-19
OPTSTK,SRTRANSFIN,26-Sep-19,1000,PE,44.9,53.3,42,50.35,50.35,12,75.53,5400,0,28-Aug-19
OPTSTK,VEDL,29-Aug-19,192.5,CE,0,0,0,0.35,0,0,0,3000,0,28-Aug-19
OPTIDX,BANKNIFTY,24-Oct-19,29100,CE,0,0,0,715.05,793.75,0,0,0,0,28-Aug-19
OPTSTK,APOLLOTYRE,26-Sep-19,225,CE,0,0,0,11.6,0.15,0,0,0,0,28-Aug-19
OPTSTK,SBIN,29-Aug-19,330,PE,45.5,47.35,44.6,45.3,45.3,42,473.71,474000,-117000,28-Aug-19
OPTSTK,INDIGO,29-Aug-19,1860,PE,0,0,0,300.05,200.45,0,0,600,0,28-Aug-19
OPTSTK,GAIL,29-Aug-19,212.5,CE,0,0,0,7.45,0,0,0,0,0,28-Aug-19
OPTSTK,IBULHSGFIN,29-Aug-19,960,CE,0,0,0,46.7,0,0,0,0,0,28-Aug-19
OPTSTK,APOLLOTYRE,26-Sep-19,250,PE,0,0,0,48.7,80.3,0,0,0,0,28-Aug-19
OPTSTK,TATACHEM,29-Aug-19,720,PE,0,0,0,104.9,154.9,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,26-Sep-19,12950,PE,0,0,0,986.5,1844.4,0,0,0,0,28-Aug-19
OPTSTK,MUTHOOTFIN,26-Sep-19,450,CE,0,0,0,198.6,175.15,0,0,0,0,28-Aug-19
OPTSTK,BAJAJFINSV,26-Sep-19,8100,PE,0,0,0,192.5,1139.2,0,0,0,0,28-Aug-19
OPTSTK,GRASIM,29-Aug-19,500,CE,0,0,0,371.85,213.6,0,0,0,0,28-Aug-19
OPTSTK,BPCL,29-Aug-19,270,CE,0,0,0,143.2,80.6,0,0,0,0,28-Aug-19
OPTSTK,GLENMARK,29-Aug-19,350,CE,0,0,0,17.45,28.5,0,0,8000,0,28-Aug-19
OPTSTK,INFRATEL,29-Aug-19,315,PE,0,0,0,40.6,66.15,0,0,0,0,28-Aug-19
OPTSTK,IBULHSGFIN,29-Aug-19,880,CE,0,0,0,67.3,0,0,0,0,0,28-Aug-19
OPTSTK,FEDERALBNK,29-Aug-19,114,CE,0,0,0,5.75,0,0,0,0,0,28-Aug-19
OPTSTK,SRTRANSFIN,26-Sep-19,760,CE,0,0,0,358.75,236.3,0,0,0,0,28-Aug-19
OPTIDX,NIFTYIT,26-Sep-19,15200,PE,0,0,0,99.7,87.7,0,0,0,0,28-Aug-19
OPTSTK,RELINFRA,26-Sep-19,42.5,CE,5.3,5.3,4.3,4.3,4.2,3,5.68,56000,8000,28-Aug-19
OPTSTK,CASTROLIND,26-Sep-19,147.5,PE,0,0,0,12.35,23.75,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,17-Oct-19,10150,PE,0,0,0,38.2,30.3,0,0,0,0,28-Aug-19
OPTSTK,MCX,29-Aug-19,870,PE,0.1,1.5,0.1,1.5,0,3,18.29,2100,-700,28-Aug-19
OPTSTK,TATAELXSI,29-Aug-19,520,PE,0,0,0,1.7,0,0,0,600,0,28-Aug-19
OPTSTK,BHARTIARTL,29-Aug-19,250,CE,0,0,0,102.55,95.85,0,0,0,0,28-Aug-19
OPTSTK,APOLLOTYRE,26-Sep-19,190,CE,0,0,0,1.6,2.3,0,0,9000,0,28-Aug-19
OPTSTK,HEROMOTOCO,29-Aug-19,2100,CE,0,0,0,434.2,468.95,0,0,600,0,28-Aug-19
OPTSTK,DHFL,29-Aug-19,65,CE,0.05,0.15,0.05,0.15,0.15,13,33.85,212000,-36000,28-Aug-19
OPTIDX,NIFTY,29-Aug-19,10150,PE,0.3,1.35,0.1,0.3,0.3,49,373.03,7800,1125,28-Aug-19
OPTSTK,TORNTPOWER,29-Aug-19,280,CE,0,0,0,9.5,2.7,0,0,12000,0,28-Aug-19
OPTIDX,NIFTY,29-Aug-19,13000,CE,0.55,0.55,0.05,0.1,0.1,657,6405.79,76050,-41175,28-Aug-19
OPTIDX,NIFTY,29-Aug-19,12550,CE,0,0,0,313.55,0,0,0,0,0,28-Aug-19
OPTSTK,GODREJCP,26-Sep-19,610,PE,23,23,23,23,23,22,111.4,19200,17600,28-Aug-19
